Date,Max_TemperatureF,Mean_TemperatureF,Min_TemperatureF,AirPtCd,ID
8/1/2017,84,70,55,KBHB,1
8/2/2017,80,68,57,KBHB,1
8/3/2017,75,68,60,KBHB,1
8/4/2017,75,68,60,KBHB,1
8/5/2017,73,68,62,KBHB,1
8/6/2017,73,65,57,KBHB,1
8/7/2017,75,64,54,KBHB,1
8/8/2017,64,60,57,KBHB,1
8/9/2017,75,63,51,KBHB,1
8/10/2017,77,66,55,KBHB,1
8/11/2017,77,67,57,KBHB,1
8/12/2017,68,64,59,KBHB,1
8/13/2017,77,70,60,KBHB,1
8/14/2017,79,67,55,KBHB,1
8/15/2017,73,66,60,KBHB,1
8/16/2017,77,69,59,KBHB,1
8/17/2017,77,66,55,KBHB,1
8/18/2017,66,58,51,KBHB,1
8/19/2017,72,64,57,KBHB,1
8/20/2017,81,72,62,KBHB,1
8/21/2017,79,68,57,KBHB,1
8/22/2017,77,67,57,KBHB,1
8/23/2017,79,68,57,KBHB,1
8/24/2017,78,65,52,KBHB,1
8/25/2017,72,60,48,KBHB,1
8/26/2017,71,60,50,KBHB,1
8/27/2017,73,62,50,KBHB,1
8/28/2017,73,58,44,KBHB,1
8/29/2017,72,58,45,KBHB,1
8/30/2017,64,58,52,KBHB,1
8/31/2017,73,60,48,KBHB,1
8/1/2017,87,72,57,KBGR,2
8/2/2017,87,72,57,KBGR,2
8/3/2017,84,75,65,KBGR,2
8/4/2017,82,73,64,KBGR,2
8/5/2017,81,74,66,KBGR,2
8/6/2017,73,65,56,KBGR,2
8/7/2017,80,65,50,KBGR,2
8/8/2017,72,64,55,KBGR,2
8/9/2017,83,68,52,KBGR,2
8/10/2017,82,69,55,KBGR,2
8/11/2017,84,72,60,KBGR,2
8/12/2017,77,70,62,KBGR,2
8/13/2017,84,74,63,KBGR,2
8/14/2017,83,69,54,KBGR,2
8/15/2017,80,69,57,KBGR,2
8/16/2017,78,68,57,KBGR,2
8/17/2017,80,66,51,KBGR,2
8/18/2017,69,60,51,KBGR,2
8/19/2017,74,67,60,KBGR,2
8/20/2017,82,72,62,KBGR,2
8/21/2017,85,72,58,KBGR,2
8/22/2017,86,74,61,KBGR,2
8/23/2017,82,69,56,KBGR,2
8/24/2017,79,66,52,KBGR,2
8/25/2017,73,61,48,KBGR,2
8/26/2017,75,61,46,KBGR,2
8/27/2017,76,62,48,KBGR,2
8/28/2017,80,61,42,KBGR,2
8/29/2017,78,62,45,KBGR,2
8/30/2017,69,61,52,KBGR,2
8/31/2017,74,60,46,KBGR,2
8/1/2017,86,75,63,KPWM,3
8/2/2017,84,72,60,KPWM,3
8/3/2017,80,73,65,KPWM,3
8/4/2017,77,70,63,KPWM,3
8/5/2017,73,68,62,KPWM,3
8/6/2017,77,67,57,KPWM,3
8/7/2017,79,66,52,KPWM,3
8/8/2017,73,66,59,KPWM,3
8/9/2017,82,68,53,KPWM,3
8/10/2017,81,70,59,KPWM,3
8/11/2017,79,71,62,KPWM,3
8/12/2017,73,69,64,KPWM,3
8/13/2017,86,74,61,KPWM,3
8/14/2017,81,68,55,KPWM,3
8/15/2017,79,69,59,KPWM,3
8/16/2017,82,69,56,KPWM,3
8/17/2017,83,67,50,KPWM,3
8/18/2017,67,64,60,KPWM,3
8/19/2017,80,70,60,KPWM,3
8/20/2017,84,73,62,KPWM,3
8/21/2017,86,72,58,KPWM,3
8/22/2017,82,72,61,KPWM,3
8/23/2017,80,70,60,KPWM,3
8/24/2017,79,67,54,KPWM,3
8/25/2017,74,64,53,KPWM,3
8/26/2017,75,63,50,KPWM,3
8/27/2017,74,62,50,KPWM,3
8/28/2017,73,62,50,KPWM,3
8/29/2017,69,58,47,KPWM,3
8/30/2017,74,63,52,KPWM,3
8/31/2017,77,64,50,KPWM,3
8/1/2017,80,74,67,KBOS,4
8/2/2017,81,75,68,KBOS,4
8/3/2017,84,75,66,KBOS,4
8/4/2017,85,77,68,KBOS,4
8/5/2017,77,72,67,KBOS,4
8/6/2017,79,71,63,KBOS,4
8/7/2017,78,71,64,KBOS,4
8/8/2017,75,69,62,KBOS,4
8/9/2017,85,75,65,KBOS,4
8/10/2017,82,74,66,KBOS,4
8/11/2017,77,70,63,KBOS,4
8/12/2017,76,70,63,KBOS,4
8/13/2017,86,78,70,KBOS,4
8/14/2017,78,71,63,KBOS,4
8/15/2017,80,73,66,KBOS,4
8/16/2017,85,76,66,KBOS,4
8/17/2017,83,73,63,KBOS,4
8/18/2017,81,73,65,KBOS,4
8/19/2017,74,70,65,KBOS,4
8/20/2017,85,79,72,KBOS,4
8/21/2017,87,78,69,KBOS,4
8/22/2017,91,81,70,KBOS,4
8/23/2017,84,77,69,KBOS,4
8/24/2017,81,73,64,KBOS,4
8/25/2017,76,70,63,KBOS,4
8/26/2017,74,67,60,KBOS,4
8/27/2017,71,65,58,KBOS,4
8/28/2017,72,65,57,KBOS,4
8/29/2017,68,63,58,KBOS,4
8/30/2017,72,66,59,KBOS,4
8/31/2017,79,70,60,KBOS,4
8/1/2017,86,75,64,KPVD,5
8/2/2017,86,77,68,KPVD,5
8/3/2017,81,75,68,KPVD,5
8/4/2017,81,75,68,KPVD,5
8/5/2017,76,71,66,KPVD,5
8/6/2017,78,69,60,KPVD,5
8/7/2017,75,67,59,KPVD,5
8/8/2017,78,71,63,KPVD,5
8/9/2017,83,72,60,KPVD,5
8/10/2017,83,72,60,KPVD,5
8/11/2017,81,71,61,KPVD,5
8/12/2017,75,69,62,KPVD,5
8/13/2017,86,77,68,KPVD,5
8/14/2017,82,72,62,KPVD,5
